,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,2,1,5,0,3,0,0,3,6,0,5,9,0,4,122173820.17753592,0.0,116004983.79615441,0.0,125253256.21256962,0.013033798905281928,26127534.665142894,0.0,98276657.88104485,0.0,121200000.0,1693.4101678859042
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,7,3,0,7,1,3,9,4,4,68139002.95605196,0.0,15379101.07151618,0.000864058216415446,64835987.44502628,0.0,33318869.869345196,0.0,210974515.26420292,0.0032029690306160257,84600000.0,2202.231993357708
2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,7,1,0,0,0,0,0,0,2,5,1,4,9,4,0,109503342.08350585,0.0,0.0,0.0,63860400.15477734,0.005344207585161556,30406578.084285047,0.0,98276657.88104485,0.0,236500000.0,703.2091892204849
3,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,6,0,0,0,0,0,0,1,1,7,0,1,10,2,0,60717312.84309486,0.0,0.0,0.0,41292219.28177295,0.0,22258486.725668453,0.0,96767921.20487039,0.0,808400000.0,0.0
4,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,2,1,0,0,0,4,1,0,0,5,6,3,4,10,2,0,32694901.094161935,0.0,97105266.60422453,0.0,28798397.130608946,0.0,36046598.4426796,0.0,96767921.20487039,0.0,425000000.0,0.0
5,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,2,0,1,0,3,0,0,1,0,2,6,1,4,8,2,3,32694901.094161935,0.0,47842699.56310011,0.0,43224599.14167526,0.0,32585053.787652515,0.0,137124848.8851681,0.0006567106072717602,388400000.0,243.26512079842746
6,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,2,0,4,0,1,1,0,0,0,1,5,0,3,9,5,7,47847947.961454235,0.0,77797112.44472042,0.0,23595656.90467953,0.00042139463166623696,21068617.1353041,0.0,173478953.78566813,0.0,696700000.0,55.75457759159379
7,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,3,6,1,2,0,0,0,6,1,2,7,0,2,9,0,0,147848759.27215046,0.0,0.0,0.0,84277981.37530136,0.0,23537919.412238494,0.0,58620688.803231284,0.00028710171343820906,388400000.0,164.28374732042613
8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,5,5,1,3,0,0,0,3,4,3,0,10,3,0,154539421.81426284,0.0,87722647.49511826,0.0,125253256.21256962,0.01042703912422554,19613584.884994783,7.714890017837207e-06,100648702.62958768,0.0,121200000.0,2111.646218039522
9,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,7,1,0,0,2,0,3,5,4,0,3,9,2,0,109503342.08350585,0.0,42818415.6714978,0.0,76896946.33349189,0.002672103792580778,24499728.61793209,0.00019974297597093426,90430170.7547297,0.0,151900000.0,481.19034534452214
