policy,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2
Policy 0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,8.0,0.0,8.0,7.0,4.0,3.0,0.0,5.0,3.0,0.0,0.0,1.0,4.0,3.0
Policy 1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,6.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,4.0,10.0,1.0,5.0
Policy 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,5.0,9.0,0.0,5.0,7.0,4.0,0.0,1.0,1.0,1.0,1.0
Policy 11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,1.0,3.0,1.0,5.0,0.0,0.0,1.0,0.0,7.0
Policy 12,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,8.0,10.0,6.0,9.0,10.0,1.0,0.0,7.0,6.0,2.0,0.0,0.0,1.0,5.0,10.0
Policy 14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,6.0,9.0,0.0,2.0
Policy 16,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0
Policy 17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,10.0,5.0,4.0,7.0,7.0,10.0,6.0,9.0,7.0,5.0,1.0
Policy 18,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0
Policy 2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,6.0,6.0,7.0,0.0,0.0
Policy 20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,5.0,3.0,5.0,1.0,6.0,7.0,10.0,10.0,6.0,7.0,5.0,1.0
Policy 22,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,4.0,5.0,6.0,5.0,2.0,7.0,4.0,9.0,6.0,2.0,1.0,4.0,6.0,0.0
Policy 23,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,6.0,5.0,7.0,2.0,0.0
Policy 24,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,3.0,10.0,9.0,6.0,8.0,10.0,5.0,10.0,10.0,9.0,8.0,2.0,1.0
Policy 25,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,2.0,8.0,7.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0
Policy 26,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,0.0,8.0,1.0,4.0,0.0,3.0,0.0,3.0,8.0,2.0,1.0,1.0,0.0
Policy 27,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0
Policy 28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,7.0,10.0,2.0,4.0,1.0,5.0,9.0,10.0,7.0,2.0,8.0,0.0,3.0
Policy 29,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,2.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Policy 30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,1.0,2.0,7.0,0.0,0.0
Policy 31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,4.0,3.0,3.0,0.0
Policy 32,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,7.0,6.0,2.0,5.0,2.0,0.0,7.0,3.0,0.0,0.0,9.0,1.0,7.0
Policy 33,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,6.0,1.0,0.0,0.0,0.0,7.0,2.0,5.0,2.0,5.0,0.0,0.0,7.0,1.0,0.0
