,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,2,5,5,6,3,0,1,8,8,5,6,4,0,8,0,6,202782665.06692177,0.0,90143923.5488522,0.0,135368322.27151185,0.0,24447158.301910475,0.0,109711815.47506401,0.0005588736708335355,1664900000.0,204.99637034189482
1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,4,5,1,3,1,8,1,6,7,7,6,3,6,6,4,7,144386177.4180255,0.0,174049416.49392167,0.0,126230340.73617607,0.0,39958772.73798215,0.0,208705237.50532973,0.0033844057836125946,303800000.0,2314.502712389916
2,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,5,6,7,7,0,5,7,3,8,4,2,0,8,0,7,224404980.6507821,0.0,148478841.59446153,0.0,117010396.02083369,0.0,18081997.288140487,0.0,114840509.9215661,0.0037258244722235697,1698400000.0,0.0
3,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,2,4,6,7,1,8,2,5,0,0,10,7,10,10,3,9,212649028.4929304,0.0,180237551.01641172,0.0,28798397.130608946,0.0,76429458.28127967,0.0,187873157.6946267,0.00033122045709256716,575500000.0,119.1873657592632
4,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,4,0,7,7,8,1,5,2,3,4,2,2,8,0,8,125788764.77143934,0.0,239452797.40772164,0.0,85635946.56286244,0.0,27051760.437178552,0.0,120427596.0710058,0.001341296810000485,2069800000.0,123.48016660594136
5,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,2,3,7,2,9,0,0,1,10,6,6,6,2,9,117999895.068093,0.0,249256068.99848717,0.0,27781986.379676078,0.00231078576822725,59543734.4794203,0.0,361396422.06219435,0.03366359983137507,656500000.0,3266.9703725750746
6,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,4,2,5,10,0,1,3,1,1,5,5,1,0,10,8,7,215305463.79344648,0.0,89724805.02770168,0.00011174965724931669,72092374.52729654,0.0,18545877.781152677,0.0,211668379.77100873,0.00025064350431741356,1033800000.0,223.90678100476853
7,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,4,1,4,7,1,5,1,1,6,3,2,7,7,10,85246019.34861892,0.0,192567114.86569905,0.0,77644475.05391562,0.0,32849061.76758905,0.0,301473605.61422676,0.01677761841027863,423600000.0,1578.980861726327
8,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,3,4,0,3,1,0,5,4,6,4,7,0,5,5,9,8,96223098.04916811,0.0,99685318.93337613,0.0,99266182.11621857,0.0,28265438.623856276,0.0,599532789.7094905,0.02146681024535462,315200000.0,12964.289202638256
9,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,3,3,5,7,0,4,5,6,2,1,1,1,2,6,5,1,191140712.25215495,0.0,127380333.71749254,0.00034050090118910905,85077442.7104589,0.0,30972698.724287283,0.00026874903182889107,138329650.95142084,0.0008514575757219581,1178200000.0,1045.2149083992124
10,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,3,2,0,0,3,6,0,10,4,1,6,3,8,7,5,5,37255203.23710208,0.0,120892243.43187523,0.0,113654036.17576583,0.0,44725019.974611215,0.0,253734622.73197556,0.0055925394700928775,577200000.0,3256.648027310549
11,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,4,2,3,1,6,1,5,6,2,1,7,1,6,2,2,142199997.9234246,0.0,154933309.49099135,0.0,98021467.5403816,0.0,54368914.54336517,0.005539188674210646,142917902.5106139,0.014269174956371356,521600000.0,0.0
12,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,3,8,1,7,3,2,4,7,0,5,4,5,2,9,7,0,211275927.77561742,0.0,158322050.00612843,0.0,70656192.99188861,0.0,32277267.86924096,0.0,117189502.75572616,0.00022354946833341417,1713500000.0,127.33892181237702
13,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,2,2,1,8,9,4,4,5,1,2,2,2,6,9,0,5,156613725.01964405,0.0,244777163.39923275,0.0,79930357.93587255,0.0,34925360.67609985,0.0001882657391541762,115933271.32750201,0.0008633306379814373,1172300000.0,461.93344137195027
14,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,6,5,4,9,5,0,2,2,1,4,6,4,7,60717312.84309486,0.0,244298309.05459636,0.0,55021520.85615872,0.0,29768312.14384568,0.0011837946486909676,167895174.3408249,0.010472963426745356,1086000000.0,0.0
15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,7,5,7,4,6,5,4,5,4,2,5,6,7,2,144305376.9857599,0.00040988680190840235,236400221.7149769,0.0,98999100.54095918,0.0,38474271.807903536,0.0002805409003783578,453016655.977762,0.020176321670714085,30700000.0,7969.865953870604
