,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,187659063.85249013,0.003848836659481686,49784702.64600866,0.0003365974065775916,92624797.67391127,0.020367994180018233,9695195.36216505,0.0,124227868.29395393,0.0,735000000.0,6510.069154050716
1,154002586.64038622,0.0,391800866.4075175,0.040629027505469685,22167818.198803753,0.0,9695195.36216505,0.0,124227868.29395393,0.0,735000000.0,26694.874146021466
2,154002586.64038622,0.0,147749894.9251112,0.010004565409794695,22167818.198803753,0.0,9695195.36216505,0.0,124227868.29395393,0.0,735000000.0,6081.861066840607
3,154002586.64038622,0.0,55847488.221039936,0.0013646694871907797,22167818.198803753,0.0,9695195.36216505,0.0,124227868.29395393,0.0,735000000.0,754.3778609354101
4,154002586.64038622,0.0,68012285.2133819,0.002470272834864372,49942272.128235385,0.007127864354835017,9695195.36216505,0.0,124227868.29395393,0.0,735000000.0,3198.8819199710097
5,154002586.64038622,0.0,47842699.56310011,0.0,27695231.33315151,0.001150796350178281,9695195.36216505,0.0,124227868.29395393,0.0,735000000.0,280.3933593917527
6,154002586.64038622,0.0,60143034.35701383,0.0013743982078067384,22167818.198803753,0.0,21871017.254403494,0.0006380225569716764,124227868.29395393,0.0,735000000.0,1804.0272269617979
7,923667629.7354854,0.04415371327470705,89069548.59681281,0.0034502184196008676,1728836209.0964577,0.2480333191715543,9695195.36216505,0.0,124227868.29395393,0.0,735000000.0,86635.52199120214
8,154002586.64038622,0.0,124908604.76401883,0.0077101554419974115,22167818.198803753,0.0,9695195.36216505,0.0,124227868.29395393,0.0,735000000.0,4575.749639869853
9,154002586.64038622,0.0,52768536.37974717,0.0006759736172464185,23890296.418701474,0.00035893738440523674,9695195.36216505,0.0,124227868.29395393,0.0,735000000.0,452.0125698006434
10,144075745.84278923,0.0,51726705.728917226,0.0006731948131551832,182563788.50992072,0.050776556085853,20785047.17797311,0.0,146289036.6940446,0.0,478900000.0,14904.647566805272
11,144075745.84278923,0.0,391800866.4075175,0.040629027505469685,0.0,0.0,20785047.17797311,0.0,146289036.6940446,0.0,478900000.0,26694.874146021466
12,144075745.84278923,0.0,147749894.9251112,0.010004565409794695,9151143.916596727,0.002373178070568613,20785047.17797311,0.0,146289036.6940446,0.0,478900000.0,6669.131196176263
13,144075745.84278923,0.0,55847488.221039936,0.0013646694871907797,0.0,0.0,20785047.17797311,0.0,146289036.6940446,0.0,478900000.0,754.3778609354101
14,144075745.84278923,0.0,68012285.2133819,0.002470272834864372,76621143.60903323,0.01812992425962514,20785047.17797311,0.0,146289036.6940446,0.0,478900000.0,5989.901159952691
15,144075745.84278923,0.0,47842699.56310011,0.0,13564319.615611024,0.0034631514815460455,20785047.17797311,0.0,146289036.6940446,0.0,478900000.0,841.4136700138368
16,144075745.84278923,0.0,60143034.35701383,0.0013743982078067384,576710.057331289,0.00012151598357254881,35441692.727192566,0.0007610887661063479,146289036.6940446,0.0,478900000.0,2052.0103219691514
17,144075745.84278923,0.0,100588914.49259952,0.004424709905448406,1710615121.1227412,0.24893776079015606,20785047.17797311,0.0,146289036.6940446,0.0,478900000.0,79474.25523816497
18,144075745.84278923,0.0,124908604.76401883,0.0077101554419974115,27275701.642361443,0.0043187932646524905,20785047.17797311,0.0,146289036.6940446,0.0,478900000.0,5661.347717442101
19,144075745.84278923,0.0,52768536.37974717,0.0006759736172464185,6505545.466125393,0.0018958122590631502,20785047.17797311,0.0,146289036.6940446,0.0,478900000.0,820.2926771553721
20,1247840176.2594602,0.13244685629813935,77797112.44472042,0.0,37745216.63963062,0.01018454132398652,41704940.58229576,0.0,44193513.54513965,0.0,704300000.0,22618.978284913963
21,0.0,0.0,405966812.24578524,0.03885951550854232,0.0,0.0,41704940.58229576,0.0,44193513.54513965,0.0,704300000.0,20762.746836354705
22,0.0,0.0,165003587.20123294,0.009306070117343074,11961697.046519512,0.003112643905222385,41704940.58229576,0.0,44193513.54513965,0.0,704300000.0,5314.7400328372705
23,0.0,0.0,86844812.40765089,0.001506998154111332,1185703.023494466,0.00025255872823645676,41704940.58229576,0.0,44193513.54513965,0.0,704300000.0,751.9683305766666
24,0.0,0.0,96299209.53403677,0.0023551743391655787,176351746.0539172,0.04139124542258594,41704940.58229576,0.0,44193513.54513965,0.0,704300000.0,10315.615561648761
25,0.0,0.0,77797112.44472042,0.0,41465006.8076578,0.01062040861896351,41704940.58229576,0.0,44193513.54513965,0.0,704300000.0,2197.4693820370053
26,20952738.488358572,0.0016084953859797756,82536117.17064837,0.0005398517261282569,11689516.726955019,0.002479706601064942,45864181.830278635,0.0002190436870229948,44193513.54513965,0.0,704300000.0,1265.1675054308719
27,2308995129.2852974,0.13246113982412117,97434976.29013361,0.001682140041720547,1731231297.9532104,0.2536774631223488,41704940.58229576,0.0,44193513.54513965,0.0,704300000.0,86877.58781078848
