,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,3,3,2,6,2,6,0,0,0,0,7,4,1,10,7,6,155322556.95399606,0.0,113454271.89419729,0.0,0.0,0.0,35674824.158580944,0.0,191318452.66405374,0.0,1362500000.0,0.0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,3,7,7,0,4,7,8,1,1,2,9,1,0,89068254.21950817,0.0,166071355.5283289,0.0,119504974.87624457,0.0,112874119.40502693,0.0024967759432070083,147353884.98233366,0.0031586170616962833,30700000.0,4998.039707167079
2,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,6,2,4,4,2,0,4,1,2,10,0,2,0.0,0.0,188241386.53171575,0.0,51760044.33566119,0.0,25598630.615849145,0.0,96767921.20487039,0.0,1255200000.0,0.0
3,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,3,0,5,2,0,0,3,3,6,0,2,10,0,2,42291505.65437629,0.0,110061574.43848997,0.0,72781080.51464401,0.018450401448448277,21556221.14781617,0.0,106614897.8765726,0.004275161604846836,575500000.0,0.0
4,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,2,0,6,2,2,1,5,6,4,0,0,10,6,2,71223146.50296113,0.0,174450713.08138555,0.0,110648559.38973434,0.01896778432913406,9695195.36216505,0.0,161744138.6352262,0.0,923800000.0,0.0
5,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,2,0,0,4,0,0,4,4,0,5,1,5,7,7,5,37255203.23710208,0.0,53358573.6002109,0.0,56604892.31464201,0.0,32086954.447517462,0.0,233696088.37056676,0.03153845976455355,747000000.0,0.0
6,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,5,0,0,0,5,2,4,3,1,10,6,7,0.0,0.0,59410102.93073928,0.0,92245784.2795081,0.011440012038288991,27361462.96777778,0.0,190187732.66254705,0.0,544800000.0,378.57919993466123
7,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,3,3,0,5,2,0,6,2,0,6,0,2,8,6,3,89068254.21950817,0.0,110061574.43848997,0.0,58517988.01954745,0.0,21556221.14781617,0.0,177830947.8740838,0.012011558685569409,303800000.0,0.0
8,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,5,0,0,2,3,1,5,5,2,8,0,4,0.0,0.0,59410102.93073928,0.0,72060610.87106211,0.0,34422492.93304789,0.0,148317588.64759326,0.024023117371138818,1218600000.0,0.0
9,0,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,5,3,2,1,0,5,5,3,0,2,7,4,0.0,0.0,172028317.80878067,0.0,50081750.628976494,0.0,21068617.1353041,0.0,508781513.93392175,0.15253725921020803,1080100000.0,0.0
10,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,2,5,1,3,2,0,5,0,3,5,2,2,32694901.094161935,0.0,154744343.1583981,0.0,48716867.66610375,0.0,21068617.1353041,0.0,325917587.1806637,0.09241543533242634,824000000.0,0.0
11,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,3,1,2,4,0,3,2,0,0,4,2,0,7,6,6,121068252.05857566,0.0,108083458.32956028,0.0,22167818.198803753,0.0,18081997.288140487,0.0,178940872.0523344,0.009043081154767962,594200000.0,0.0
12,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,1,0,2,5,7,2,7,0,4,3,0,9,2,4,85246019.34861892,0.0,203921071.87006146,0.002231519582600979,58768098.74581756,0.0,22108210.776928913,0.0006989397458098137,187628937.0629646,0.021167459642369508,151900000.0,0.0
13,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,6,0,3,2,5,0,4,2,5,1,0,9,7,0,60717312.84309486,0.0,165480625.60161948,0.0,60546976.75444575,0.007390920623302946,18545877.781152677,0.0,112912350.16584781,0.0,606200000.0,0.0
14,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,4,1,6,5,6,5,1,2,7,5,0,1,9,6,0,157070751.6108724,0.0,223512939.07250154,0.0,90029001.23191008,0.00764723803965846,18545877.781152677,0.0,107608403.84178665,0.0,273100000.0,0.0
15,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,5,2,3,0,3,1,6,0,3,8,5,1,32694901.094161935,0.0,170590329.1761617,0.0,46825882.79835651,0.00014699705952395613,22928006.72310114,0.0,143104922.12203062,0.0033747307462476226,425000000.0,0.0
