,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,4,6,0,3,3,9,10,0,10,8,3,4,8,5,1,44076944.7862427,610640394.8274883,795000000.0,0.0,0.019065446853132103
1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,5,5,2,1,4,1,10,5,10,2,7,2,9,8,331671074.4195095,574766118.672373,831600000.0,0.0,0.13254546669500047
2,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,4,9,6,8,3,7,5,4,7,4,10,10,8,3,3,3,552220437.9149109,791052672.3028101,297900000.0,20301.3303475875,0.027516259927144487
3,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,4,1,4,1,2,8,9,6,1,3,10,1,0,4,1041352801.7325255,476943091.27952117,675200000.0,0.0,0.40718565469426
4,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,3,2,0,1,9,0,2,2,5,5,1,5,9,10,10,0.0,567701981.64371,1018700000.0,0.0,0.0
5,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,4,0,5,4,9,7,3,0,0,2,2,5,5,7,1,0,159658658.7672787,512881991.3154074,1081800000.0,5632.096208090887,0.008113196499600316
6,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,10,0,5,0,8,10,9,4,9,0,8,7,8,3,0,13551452.572781779,644261203.911109,922100000.0,238.9055153473232,0.0010073000046248932
7,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,4,7,8,9,8,5,5,0,4,3,9,7,8,4,9,25492681.40089771,822875760.0780418,569600000.0,0.0,0.009870486673982319
8,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,3,10,0,3,0,1,10,5,2,9,6,1,1,8,2,5,16032616.816550352,566043291.7448372,1134000000.0,482.7241715687734,0.0008266460132713856
9,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,3,1,6,9,7,3,4,6,9,5,3,6,4,10,1,2,2210854.520215087,709235675.7437787,813700000.0,74.48271200681326,6.286593415532926e-05
10,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,2,0,0,1,3,7,0,3,5,5,7,4,2,8,4,3,0.0,430055527.13186455,1162600000.0,0.0,0.0
11,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,5,9,2,3,0,10,0,4,9,7,1,7,9,5,4,19337610.006728604,642328350.1138604,874300000.0,278.92822733498826,0.0030347832697142124
12,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,3,4,0,4,0,8,2,8,2,2,9,8,10,9,3,4,19337610.006728604,557353590.653903,1122800000.0,575.2894688784133,0.0010115944232380707
13,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,4,7,2,8,6,2,1,5,10,0,6,3,1,4,7,1,150144271.53417152,619723668.1655725,613800000.0,5538.815822140683,0.0074520666031170895
14,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,4,4,6,5,9,10,5,2,3,7,7,6,8,1,1,8,1788432162.128071,776385557.9735453,550900000.0,67804.89145950077,0.08721167612150363
15,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,4,0,1,7,10,3,10,10,1,1,6,9,3,7,4,8,29771978.69780735,731004577.4750357,744700000.0,1053.181790915519,0.0015232291898952268
16,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,2,4,0,6,0,0,2,2,10,4,6,5,7,5,8,6,218268005.34503737,472195498.2068034,897500000.0,5432.325165883643,0.013762551785364334
17,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,10,9,2,7,2,0,9,4,8,6,7,8,9,5,2,0.0,748342942.0589573,660100000.0,0.0,0.0
18,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,3,2,0,3,8,2,5,2,4,7,7,2,9,5,7,6,85407438.62283047,592511050.6120192,708700000.0,2641.285714548849,0.004304081764654659
