,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,3,0,7,2,9,10,8,0,0,7,0,6,0,6,2,117657018.40774402,0.0,285079173.089201,0.0009158396705777966,37285037.900559425,0.0,30185557.33409556,0.0,1118050534.3787372,0.41524339393081205,656500000.0,0.0
1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,4,2,0,3,9,2,4,6,1,0,4,5,6,10,6,9,82486364.32617709,0.0,225147866.02085668,0.0,56232105.137590505,0.0,39386978.83963405,0.0,205458659.05648392,0.0,1270300000.0,0.0
2,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,4,2,6,4,0,5,4,3,1,6,6,1,5,10,6,0,164796878.60324055,0.0,142007964.71714124,0.0010492193675272325,82565692.51492499,0.0,34322850.04901576,0.0,114533149.21491536,0.0,831600000.0,585.5178999022921
3,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,3,6,10,8,2,5,6,1,1,0,9,3,5,10,4,4,307683585.4241487,0.0,191915659.32771745,0.00011150409407967915,52450449.40721291,0.0011401698172607813,46147998.25405748,0.0,158307087.73781967,0.0,357700000.0,285.6540681109261
4,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,3,3,8,2,1,0,1,3,2,2,3,2,1,6,2,2,180596602.09435374,0.0,91511398.76358828,0.0007483261612086304,74939991.39165352,0.0,24040200.774297733,0.0,224814306.41831744,0.005800759650426402,1592300000.0,3885.1728733477657
5,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,4,5,3,6,8,4,0,4,4,7,0,9,2,6,5,0,183442810.13191497,0.0,151091418.57393533,0.0,101380159.06922092,0.0,63627949.08322795,0.0009019026519569667,102191366.48375797,0.0008374470581031217,762600000.0,2129.316088359339
6,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,3,3,1,7,5,8,10,7,0,0,6,0,6,7,5,2,156394694.65186498,0.0,309596212.967276,0.0,34221561.73832255,0.0,27984209.217288204,0.0,376115339.95730877,0.012508303945395446,876000000.0,7421.5397194005545
7,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,2,2,0,2,5,0,2,4,6,7,6,9,2,7,1,4,77099991.75787257,0.0,110061574.43848997,0.0,110206469.56618594,0.0,46920181.64219594,0.0,149584450.2144621,0.0019071724424844449,1419100000.0,739.202830752574
8,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,3,1,1,6,6,0,8,6,1,4,0,1,8,7,1,1,131444749.25204396,0.0,165476520.6102822,0.0,89636651.68609987,0.0,33640776.36109237,0.0002715369551449057,114802745.37183167,0.00031417192890616534,1698400000.0,572.4179087150841
9,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,2,0,7,1,3,0,1,4,5,7,6,4,5,37255203.23710208,0.0,134836516.3483242,0.005842908197255856,46650169.32145682,0.0,41653687.49951889,0.0,361415859.5346507,0.09644829860081,1197100000.0,0.0
10,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,2,7,5,3,0,4,0,0,1,6,8,5,5,2,5,183160830.053551,0.0,106860238.4866137,0.0,20299287.62732069,0.0,50010495.12642736,0.0,316915203.40500367,0.08369449887628112,977600000.0,0.0
11,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,2,0,0,2,0,4,4,1,5,10,10,10,4,2,71223146.50296113,0.0,60006485.992234305,0.007748671307094751,83164347.00555347,0.0,68924945.88809776,0.0,149025190.85112476,0.0,1676900000.0,0.0
12,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,4,8,1,6,2,7,3,7,5,3,2,1,2,9,3,4,201233621.37289488,0.0,191942038.76845652,0.00033100797796604216,106871117.97430593,0.0,45845554.1482362,0.0006755809236464773,147919395.534533,0.000195967739991681,321100000.0,1235.7255189057587
13,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,3,0,4,0,5,3,2,2,0,7,4,0,0,0,5,8,47847947.961454235,0.0,172028317.80878067,0.0,66275383.291766085,0.0007748030217033422,14676110.319618303,0.00015278981487995634,1123134137.5106156,0.048887571486486474,1097400000.0,34948.453394156786
14,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,3,5,7,3,4,4,0,0,6,7,5,6,7,6,3,191140712.25215495,0.0,174367466.21609122,0.0,31398797.71871161,0.0,47102409.48652041,0.0,197472350.4341444,0.023490913307999045,1320600000.0,0.0
15,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,3,4,4,0,6,3,2,4,0,1,6,3,4,7,6,2,102578836.07266891,0.0,182511579.08130905,0.0,49622725.1402255,0.0,36046598.4426796,0.0,193179991.14990005,0.0028189095969598853,1049400000.0,1688.5534220818406
16,1,0,1,0,0,0,1,1,1,0,1,1,0,1,0,4,4,6,5,3,0,4,0,3,0,6,6,2,5,2,5,192825296.71907866,0.0,106860238.4866137,0.0,24198032.45136138,0.0,38957445.80785689,0.0,316915203.40500367,0.010043339865153735,759800000.0,7371.242704524444
