,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,3,0,3,8,10,2,7,4,0,0,4,10,2,8,4,0,126682524.73632845,0.0,269167233.3838538,0.0,26403379.542306438,0.0,46451605.62734088,5.371004844646323e-05,154372114.1253706,0.0032616693228095456,1299600000.0,1901.583330803733
1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,2,10,5,3,3,6,3,2,3,6,1,3,5,8,10,3,240639536.53391802,0.0,185628313.09170392,0.0,85190627.71842328,0.0,40762929.20893345,0.0004553732488596038,191698774.1218998,0.000744561635717399,1051100000.0,637.02063765905
2,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,10,9,4,4,1,7,5,4,1,0,5,8,9,1,4,305018724.8793621,0.0,183832796.85585862,0.0,87498935.4190952,0.0,52999240.05828245,0.0047954208156066125,149443989.6389562,0.006953813037772982,1222600000.0,0.0
3,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,4,2,2,2,7,0,8,0,9,7,4,7,4,9,6,3,119714365.97456834,0.0,176144524.04344413,0.0,93956062.45475376,0.0007227663821564106,42597218.281360514,8.113997961568005e-05,192809751.22224152,0.0018323095779621678,825700000.0,1475.4330621715249
4,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,3,0,2,9,0,4,7,0,2,8,0,4,4,1,7,83497824.69174261,0.0,162191618.0352621,0.0,62267437.976033404,0.0,28794046.716593646,0.0,1051575092.190942,0.14258908294382264,940200000.0,13989.976875909802
5,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,3,0,6,4,3,3,1,10,8,7,4,5,8,7,10,3,119252509.8856793,0.0,147546873.75304872,0.0,159045207.06139097,0.0,46782863.34157001,8.472815644289798e-05,355026145.16098714,0.009517700426669402,1209100000.0,5577.733333954471
6,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,3,4,0,0,1,3,8,1,10,1,5,6,0,1,10,95213987.28559849,0.0,91522213.70707303,0.001774573943992159,123671940.975333,0.0,85874178.94050038,0.011636176854620501,1851068478.0011065,0.7154167253654986,619900000.0,0.0
7,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,7,2,5,2,4,6,6,3,10,2,6,0,3,9,115272862.040791,0.0,177568802.16796747,0.0,106025710.87762618,0.0,49481375.29008042,0.0,973001435.1898519,0.3486586047884212,908600000.0,0.0
8,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,3,1,0,8,7,1,5,8,3,4,2,1,1,5,9,4,111601194.33864394,0.0,199433505.39254242,0.0,107155384.25911072,0.0,38657646.970256686,0.0005272296252552495,382025730.8600386,0.01151432134130455,1230600000.0,7682.379636776055
9,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,2,2,6,2,1,1,5,0,2,4,7,1,0,4,2,0,150937400.934666,0.0,141336773.52795565,0.0,50406479.71948833,0.0,22258486.725668453,0.0,362947832.9504971,0.01882509671926137,503700000.0,7415.956544971421
