,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,EWS_DaysToThreat,scenario,policy,model
0,123.0,132.26833246363606,1.5,0.5020753093893539,217.80123694883972,1.0,0.8739100321148652,220.47426853703809,1.0,0.1294807885404106,211.20032806396296,1.0,0.3024309795373358,53.878185518636016,1.0,0.08609603756015485,4.5,1.5,1.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,7.0,9.0,5.0,4.0,2.0,3.0,7.0,4.0,0.0,8.0,2.0,10.0,3.0,4.0,3.0,0.0,0,0,dikesnet
1,11.0,270.5470099328251,10,0.6919778420341135,245.02371199798415,1.5,0.39953302459175666,196.64472223238843,1.5,0.6149907304992358,143.49138395366595,1.0,0.2556649190292502,58.89125229882097,10,0.20237150936121456,3.5,3.5,4.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,7.0,9.0,5.0,4.0,2.0,3.0,7.0,4.0,0.0,8.0,2.0,10.0,3.0,4.0,3.0,0.0,1,0,dikesnet
2,53.0,347.00182945036175,1.0,0.37270000273870296,163.06039426272145,1.5,0.40884759507316587,227.93999843644397,1.0,0.16786591228440853,45.51822045226754,1.5,0.9187136558716102,266.16375878330336,1.0,0.30603042545962744,2.5,3.5,2.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,7.0,9.0,5.0,4.0,2.0,3.0,7.0,4.0,0.0,8.0,2.0,10.0,3.0,4.0,3.0,0.0,2,0,dikesnet
3,58.0,339.5817576184738,1.0,0.8058244406932104,312.83051460851357,10,0.4672148602168698,341.0740292511958,1.0,0.45649113407570785,30.919184845285738,10,0.6493995125940839,190.25708428099475,1.0,0.3287509147564496,1.5,4.5,4.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,7.0,9.0,5.0,4.0,2.0,3.0,7.0,4.0,0.0,8.0,2.0,10.0,3.0,4.0,3.0,0.0,3,0,dikesnet
4,0.0,330.21915485332005,10,0.19691836329660362,263.3979463707604,10,0.43577592591146436,178.36532986828178,1.5,0.9818075867328575,141.8084381632845,10,0.01094721773121815,57.94245675894764,1.5,0.2230896846730234,1.5,3.5,2.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,7.0,9.0,5.0,4.0,2.0,3.0,7.0,4.0,0.0,8.0,2.0,10.0,3.0,4.0,3.0,0.0,4,0,dikesnet
5,130.0,306.07514575713344,1.5,0.6518342997764286,78.33021315218224,1.5,0.5595707899693895,113.22689818223843,1.5,0.25376296336976817,73.10134885983186,10,0.7938571341094227,335.03841999423213,1.0,0.5550816137774237,4.5,4.5,4.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,7.0,9.0,5.0,4.0,2.0,3.0,7.0,4.0,0.0,8.0,2.0,10.0,3.0,4.0,3.0,0.0,5,0,dikesnet
6,2.0,296.2789029786762,1.0,0.04411758429104979,289.3179680032123,1.5,0.38860733233454786,263.0141509367463,1.5,0.24160975880423216,248.70838548048027,10,0.3742870395656441,304.2426339156797,10,0.4621933105398615,1.5,3.5,3.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,7.0,9.0,5.0,4.0,2.0,3.0,7.0,4.0,0.0,8.0,2.0,10.0,3.0,4.0,3.0,0.0,6,0,dikesnet
7,26.0,83.74812782084712,10,0.7955697264693713,91.22234055262052,10,0.6712628762024386,119.62965830034682,10,0.2929552144203623,227.68467451558362,1.5,0.9469143505315616,259.4883389195868,10,0.6500120996154847,3.5,1.5,2.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,7.0,9.0,5.0,4.0,2.0,3.0,7.0,4.0,0.0,8.0,2.0,10.0,3.0,4.0,3.0,0.0,7,0,dikesnet
8,50.0,70.76104740542593,1.5,0.6499037494850841,184.3994770067584,10,0.4567876810929054,77.34196208990139,1.0,0.04584902217434216,55.511099328092044,1.0,0.06161055248221929,105.83748713596255,10,0.6027239382272088,3.5,3.5,2.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,7.0,9.0,5.0,4.0,2.0,3.0,7.0,4.0,0.0,8.0,2.0,10.0,3.0,4.0,3.0,0.0,8,0,dikesnet
9,128.0,128.56172701865205,10,0.7058580378971812,160.87635486963694,1.0,0.22738837585022192,255.81696536201406,1.0,0.7056362126243297,278.4395370551865,10,0.5368716232316179,243.57747651268707,10,0.5415543957165336,3.5,4.5,1.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,7.0,9.0,5.0,4.0,2.0,3.0,7.0,4.0,0.0,8.0,2.0,10.0,3.0,4.0,3.0,0.0,9,0,dikesnet
