,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,2,4,0,5,6,0,3,5,9,4,0,8,2,9,9,4,109584413.64186119,0.0,124573879.8096008,0.0,119098486.15119725,0.0,46068376.85174973,0.0006259184678617432,186092380.3715861,0.0,1087700000.0,596.8835072222829
1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,4,2,2,0,8,9,9,10,8,5,4,1,3,0,8,2,77099991.75787257,0.0,358343331.2919893,0.0,149116010.9321873,0.0,31666921.125190847,0.0001514745514730354,1144794985.0681775,0.051958208473446774,566000000.0,40181.11022708353
2,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,3,10,7,2,8,6,2,4,7,0,10,3,3,0,9,9,256413145.59317264,0.0,236227016.549683,0.0,65547722.11683032,0.0,45297253.874143034,0.0,776783521.5224113,0.03008145294003515,1087700000.0,22756.060989040365
3,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,4,7,10,7,8,7,5,3,0,3,4,9,7,5,3,263423875.2562502,0.0,297505741.65002626,0.0,57423135.62296812,0.0,45236707.672971055,0.000746206641204436,191678996.33356297,0.02346624672179966,893000000.0,0.0
4,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,4,7,6,8,9,2,8,8,1,9,5,7,7,5,10,213656166.2927918,0.0,274827666.7696636,0.0,120818752.94409646,0.0,55948950.58148606,0.0,236471974.4439777,0.008975955802931396,744700000.0,871.3602364867024
5,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,4,3,3,8,3,3,10,0,4,4,4,5,0,10,7,5,182409397.308918,0.0,222514623.41904962,0.0,67434202.95206058,0.0010960524553953017,22709562.796299398,1.0860675728073542e-05,198123065.9225967,0.0006866256641714862,1043500000.0,739.9666623196435
6,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,10,4,3,8,10,7,6,0,0,1,5,5,3,3,4,229756067.42625666,0.0,345728018.62730587,0.0,31398797.71871161,0.0,39034232.77605881,0.0006040614792164975,448250013.00210726,0.0503332828653746,1057000000.0,5524.0152443694
7,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,9,10,10,5,2,0,4,5,5,3,8,1,2,2,1,394035190.23383284,0.0,110061574.43848997,0.0,98311612.93042651,0.0,38561803.72707965,0.0007626457083032833,1387582920.0970542,0.525638132409059,1268900000.0,0.0
8,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,2,0,8,10,10,10,9,7,0,1,2,1,1,5,1,3,200736896.04393244,0.0,415012989.911407,0.0,59903444.52010451,0.0,24111742.75757939,0.00010104248270245567,350638060.9166064,0.015435935484287355,1459100000.0,6326.11325628491
9,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,2,8,3,4,0,0,8,5,9,6,7,7,2,9,5,5,200876444.11674014,0.0,154884615.76794273,0.004968887907867,127094323.92166442,0.0,44040927.70340644,0.0,180567685.4245923,0.0012318890273872991,1020400000.0,1988.9307205090488
