,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,2,10,2,4,1,8,5,9,3,7,10,8,7,9,9,39408439.24449634,774436611.3782387,575500000.0,588.0745748578234,0.005972928056281732
1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,3,10,2,2,5,0,6,8,10,10,5,8,8,9,0,3,0.0,665861816.8908274,1349700000.0,0.0,0.0
2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,4,6,7,0,5,9,3,7,10,0,8,6,1,2,2,9,1026643089.1891582,637202186.7710043,408000000.0,40128.012659759275,0.048904225237537374
3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,6,0,4,8,4,8,5,5,3,2,8,6,3,10,0,768075546.239519,625582070.1619167,456000000.0,25442.373930461905,0.036543689711624104
4,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,7,1,10,9,3,6,10,1,1,7,8,7,10,3,4,3516596.11415742,800067356.5732975,351800000.0,0.0,0.0015278471547899492
5,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,2,1,2,9,3,3,6,8,5,8,10,3,9,9,7,0,0.0,652967240.1247511,1388400000.0,0.0,0.0
6,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,4,6,4,4,3,10,6,7,1,4,10,5,10,4,1,0.0,718623175.5027713,1064500000.0,0.0,0.0
7,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,2,4,0,2,9,9,2,10,2,2,7,4,3,9,10,2,2886550.936962637,711842113.3077875,1087700000.0,70.24383512843384,0.00018510517691487684
8,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,7,3,10,0,9,10,1,7,5,1,8,4,7,1,10,5929926.516471685,760848240.564367,1014200000.0,95.9662539788265,0.0005805854677429959
9,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,8,8,9,9,5,0,5,2,10,7,8,0,9,9,3,0.0,818627347.0750521,1037400000.0,0.0,0.0
10,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,2,0,5,9,7,6,4,5,4,0,9,1,1,6,2,6,241184874.06846356,616572755.0053908,485000000.0,6015.822989199045,0.015186280651583315
11,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,3,1,2,0,0,3,3,0,5,1,8,4,7,8,4,0,63389556.28183381,367065915.1846497,1719600000.0,1886.2929878468951,0.003253194681012398
12,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,8,3,0,0,6,0,2,4,0,6,3,3,10,3,1,17221665.115841884,421850895.3267875,661800000.0,0.0,0.007634282301331258
13,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,4,4,10,10,1,0,4,8,8,10,2,6,8,5,2,14320720.343750414,693529538.9643542,690800000.0,210.80139066589157,0.002192543319958608
14,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,4,4,0,5,8,0,6,8,9,3,6,10,10,8,10,3931577.953217992,682612347.7215487,1161100000.0,57.705765490688904,0.0005849989508425025
